Date/Time,Word Count,ca,en,es
2024.03.25-16.00.00,0,0,0,0
2024.03.25-16.01.00,845,0,0,845
2024.03.25-17.00.29,0,0,0,0
2024.03.25-17.21.03,1216,0,0,1216
2024.03.25-18.02.27,1217,0,0,1217
2024.03.25-18.04.22,1209,0,0,1209
2024.03.25-18.05.39,1146,0,0,1146
2024.03.28-18.55.44,1146,1083,0,1146
2024.03.28-18.56.05,1146,1083,1083,1146
2024.03.28-18.57.21,1146,1146,1083,1146
2024.03.28-18.58.24,1146,1146,1146,1146
2024.03.28-19.17.17,1148,1110,1110,1148
2024.03.28-19.18.42,1148,1126,1148,1148
2024.03.28-19.26.55,1146,1131,1131,1146
2024.03.28-19.27.19,1146,1146,1146,1146
